# Candidats adoptés depuis OpenStreetMap.
#
# Trouvés parce qu'un lieu porte des horaires ou un tarif — un fait de terrain
# — là où Wikidata ne le classait dans aucune des classes interrogées. Ils
# n'ont aucun privilège : ils sont scorés, soumis au plancher de notoriété et
# dédoublonnés comme les autres. Ce fichier existe pour que `fetch` les
# retrouve, et pour qu'une ligne retirée à la main le reste.
#
wikidata_id,theme_id,note
Q100293619,musees,
Q104528637,musees,Saints James and Christopher church
Q105085144,musees,Museum Ladin Ursus ladinicus
Q1053483,monuments,Colonne di San Lorenzo
Q105393046,musees,"Museo del soldatino ""Mario Massacesi"""
Q106074992,chateaux,Torre del Marino
Q106092362,grottes,Grotta delle meraviglie
Q106201688,grottes,Grotta di Capelvenere
Q106246806,grottes,Grotta del Moro
Q106302923,grottes,Grotta Gattulla
Q106873311,musees,TtrAM
Q107149279,musees,Lanserhaus
Q107362224,musees,Museum house in Moggio
Q107369545,musees,MAPP Museo d'Arte Paolo Pini
Q107564173,cascades,Cascata della Brentana
Q107711972,cascades,Cascata Fermona
Q108177396,musees,Varallo fishing museum
Q108321468,cascades,Brusia waterfall
Q108443358,cascades,Cascata della Presia
Q108489564,cascades,Tret waterfall
Q110461130,musees,
Q1106485,musees,Italia in miniatura
Q110945147,chateaux,Castello di Monticello d'Alba
Q110951816,chateaux,Castle of Borgo Adorno
Q111332041,cascades,Cascata del Rio Negro
Q111359532,jardins,
Q1114366,musees,Musée du patrimoine industriel
Q1115335,musees,Archaeological Museum of Sabbia Valley
Q111551238,monuments,Porta di Ponte
Q1116623,megalithes,Visentium
Q111666244,cascades,Rio Vioz waterfall
Q111697168,musees,Ecomuseum Land of Castelmagno
Q112015455,musees,Museo Beniamino Gigli
Q112054994,megalithes,Théâtre romain de Cividate Camuno
Q112140976,chateaux,Villa Gina
Q112142129,musees,
Q112174149,musees,
Q112174202,musees,
Q112284669,monuments,
Q112661376,megalithes,Catacombe del Mulinello
Q112673815,monuments,Sanctuary of our Lady of the snow
Q112705915,musees,Centro museale di documentazione e ricerca scientifica di paleontologia
Q112944217,musees,
Q112944230,musees,
Q112944235,musees,Galleria Campari
Q112944253,musees,Civico Museo Insubrico di Storia Naturale
Q112960674,musees,Quadreria Crivelli
Q113014551,musees,
Q113014564,chateaux,Torre civica del Belvedere
Q113014632,musees,
Q113030301,musees,MuDA - Centro Esposizioni
Q113140788,chateaux,Forte di Valledrane
Q113199697,chateaux,Villa Rezzola
Q113290248,monuments,
Q113400210,musees,Batteria Pisani
Q113512603,musees,Museo della Scuola Romana
Q113535929,musees,Biblioteca della Fondazione Leonardo Sinisgalli
Q113551690,chateaux,Castello Ducale
Q113556629,chateaux,Forte Schiaffino
Q113557328,monuments,Fortino dei Castriciani
Q113562890,chateaux,
Q113870106,grottes,Arma Pollera
Q113969271,grottes,Grotta del Ciabattino
Q114098236,cascades,Cam's waterfall
Q115695,musees,Observatoire astrophysique de Turin
Q116706430,musees,
Q116944991,monuments,Torre dell&#39;Orologio (Cisternino)
Q117213558,cascades,Cascata della Civetta
Q118352924,monuments,
Q120002808,megalithes,Roman villa of Orpheus
Q121163057,cascades,Middle Vallesinella waterfalls
Q121163289,cascades,Upper Vallesinella waterfalls
Q121301270,musees,
Q122152492,monuments,Sant'Eurosia
Q122324480,megalithes,
Q122327382,megalithes,
Q123348232,musees,Checco Costa Museum
Q123570918,monuments,Santa Maria Ausiliatrice
Q123888801,musees,Archivio Museo Cesare Mattei
Q123910297,musees,
Q123916498,monuments,
Q124032534,cascades,Vilpian Waterfall
Q124247972,megalithes,Catacomb of San Marco
Q125127062,musees,Museo Andrich
Q1251366,musees,South Tyrol Museum of Nature
Q125149146,cascades,Aschlbach Waterfall
Q125393345,musees,
Q125508642,jardins,Giardino Roccioso
Q125511085,musees,Don Giovanni Guiso museum
Q125636325,musees,Casa museo Antonio Ligabue
Q1256448,monuments,Santi Niccolò e Cataldo church
Q125703946,musees,MUSA - Museo del sale
Q127276450,musees,Pinball and Arcade Museum
Q1280995,musees,Musée minéralogique de Tiso
Q129676505,megalithes,
Q129676582,megalithes,
Q130217792,megalithes,
Q130232925,musees,Grand Tour Italia
Q130497917,cascades,Folgorida waterfall
Q130910654,monuments,
Q131277854,musees,
Q131310134,musees,
Q131369619,monuments,
Q131720676,cascades,Cascata del Ponale
Q131766201,musees,Fondazione Massimo e Sonia Cirulli
Q132086263,grottes,Grotta Azzurra
Q132101436,cascades,Cascata dello Sprizzottolo
Q132166234,musees,
Q13217225,musees,Église Saint-François d'Udine
Q1326241,megalithes,
Q133454471,monuments,Fonte Fegatella
Q134028574,monuments,Saletta Reale
Q135103595,musees,Museo Byron
Q135103601,musees,
Q135882660,cascades,Sega waterfall
Q135884108,cascades,Screaming cave
Q135889689,cascades,Lavane waterfall
Q136463612,cascades,Waterfall of Begna
Q138912239,cascades,
Q140044166,cascades,Pis del Pesio
Q140044578,cascades,
Q140381580,megalithes,
Q140693020,musees,Museo mediceo
Q140798497,musees,
Q15052993,musees,Scuola di San Rocco
Q15545668,musees,Museo Archeologico di Monasterace
Q15639809,megalithes,Colonna Pizzuta
Q15812268,megalithes,Tomba dei giganti di Moru
Q15939615,musees,Giovanni Rambotti Civic Archaeological Museum
Q16268566,musees,Musée de l'histoire de la psychiatrie
Q16335817,musees,Museo civico archeologico di Villa Mirabello
Q16336127,musees,Cala Gonone aquarium
Q16336128,musees,Museo dello sbarco e Salerno Capitale
Q16336132,musees,Musée archéologique virtuel d'Herculanum
Q16336147,musees,"Museo delle arti (Catanzaro, Italy)"
Q16336149,musees,Villa Fogazzaro Roi
Q16336161,musees,Musei riuniti
Q16336758,musees,Mongiana Firearms Factory Museum
Q16336782,musees,"Territorial Archaeological Museum of Penisola Sorrentina ""Georges Vallet"""
Q16337090,musees,Museo delle arti in ghisa nella Maremma
Q16337205,musees,Musée archéologique de Portus Scabris
Q16337292,musees,Museo della miniera
Q16337402,musees,Museo officina Rancilio 1926
Q16337988,musees,
Q16337990,musees,Museo d'arte urbana
Q16531852,musees,Belvedere di San Leucio
Q16538051,chateaux,Castello di Burgos
Q16538086,chateaux,Castello
Q16560379,musees,
Q16580532,musees,
Q16580536,musees,Archaeological Museum of Savona
Q16580588,musees,Museo della battaglia di Magenta
