# Décisions éditoriales, cumulées au fil des revues.
#
# keep    : validé, et conservé même si un plancher venait à monter.
# drop    : écarté du catalogue.
# promote : remonté dans le classement. Sur un lieu hors de sa collection
#           nationale, il l'y fait ENTRER, à son rang, et rien de plus.
# promote2: le fait entrer ET le monte d'un cran. À n'employer que là où
#           `promote` ne ferait qu'entrer — ailleurs il vaut `promote`.
# demote  : descendu dans le classement.
#
# Ce fichier est la mémoire de la curation. Le supprimer perd tout le travail
# de relecture ; en corriger une ligne suffit à revenir sur un verdict.
#
wikidata_id,decision,name,note
Q1000054,keep,Palais de la Zisa,
Q1012797,keep,Ostie,
Q1025312,drop,Cadore,
Q10285,keep,Colisée,
Q1031614,keep,Campo Santo,
Q1034748,keep,Capo Testa,
Q1034760,keep,Capo Vaticano,
Q1041718,keep,Villa San Michele,
Q1047110,drop,Casentino,
Q1048809,keep,Château aragonais,
Q1048836,keep,Château d'Este,
Q1048860,keep,Château San Giusto,
Q1049033,keep,Collection Peggy-Guggenheim,
Q1051820,keep,Chartreuse de Padula,
Q1052171,keep,Ca' Rezzonico,
Q1053520,drop,Val Formazza,
Q1053846,keep,Ponte Coperto,
Q1054090,keep,Centrale Montemartini,
Q1056360,keep,Piazza Bra,
Q1057390,drop,Val di Zoldo,
Q1057412,drop,Teatro San Samuele,n'existe plus
Q1058770,drop,Métaponte,
Q1058967,keep,Théâtre grec de Syracuse,
Q1061229,keep,Piazza del Campo,
Q1061804,keep,Parc du Valentino,
Q1069571,drop,Apennin du Nord,une chaîne de montagnes n'est pas un lieu de visite
Q1071076,keep,Jardin de Ninfa,
Q1071570,keep,Basilique Saint-Ambroise,
Q1071597,drop,Val di Chiana,
Q107338,keep,Lampedusa,
Q1084616,keep,Monte Nuovo,
Q10855544,keep,Galleria dell'Accademia de Florence,
Q1085906,demote,Ventotene,
Q1088296,drop,Sila,
Q1091068,drop,Parc national de l'Asinara,
Q110589478,keep,Gorges du Furlo,
Q1117509,drop,Val Pô,
Q1123712,drop,Palais Paolo et Niccolò Interiano,
Q1123879,demote,Palais de Venise,
Q1126234,keep,Tavolara,
Q1126723,keep,Villa Farnesina,
Q1129380,demote,Mont Albain,
Q1133295,keep,Île de Ponza,
Q1134699,drop,Pont de la Liberté,
Q1135392,keep,Musée national romain,
Q1136614,keep,Palais Barberini,
Q1140023,keep,Campanile de Santa Maria del Fiore,
Q114436,keep,Abbaye de Tre Fontane,
Q1145261,keep,Basilique de Superga,
Q1145492,drop,Poveglia,
Q1190657,keep,Musée Poldi-Pezzoli,
Q1190961,keep,Palazzo Pubblico,
Q1200696,keep,Museo dell'Opera del Duomo,
Q1203458,keep,Galerie Doria-Pamphilj,
Q1225474,keep,Grottes du Bue Marino,
Q1227391,promote,Ermitage de Santa Caterina del Sasso,
Q1229008,keep,Église et couvent de la Trinité-des-Monts de Rome,
Q1233234,promote,Île d'Ortygie,
Q1233293,drop,Naxos,
Q1235116,drop,Lupercal,
Q1239373,keep,Promontoire de l'Argentario,
Q1241298,keep,Villa des Mystères,
Q1249309,keep,Pantelleria,
Q1249840,keep,Lac de Resia,
Q1251,drop,Alpes cottiennes,
Q12512,keep,Basilique Saint-Pierre,
Q1257335,drop,Oplontis,
Q1261544,keep,Palais du Te,
Q126327,drop,Île de San Giorgio Maggiore,
