# Niveau de chaque lieu tel que le curateur l'a vu à sa dernière revue.
#
# Le niveau d'un lieu n'est pas une propriété du lieu : c'est son rang dans sa
# collection. Ajouter un signal au score, ou seulement collecter dix lieux de
# plus, peut donc faire descendre un lieu qu'on avait validé — sans que rien ne
# le dise.
#
# Ce fichier est la photographie du dernier état VU. `build` compare et signale
# les écarts ; `apply-review` la met à jour, parce que c'est le moment où le
# curateur a regardé.
#
wikidata_id,tier,theme,name
Q1000040,2,abbayes,Eremo delle Carceri
Q1000054,2,chateaux,Palais de la Zisa
Q100052,3,villages,Fiumalbo
Q100133,3,villages,Camerata Cornello
Q100785,3,villages,Compiano
Q100846,3,villages,Montechiarugolo
Q101155,3,villages,Gromo
Q101202,3,villages,Lovere
Q1012797,2,megalithes,Ostie
Q101380751,3,monuments,Tour des Tallianti
Q1014472,2,piazzas,Piazza della Cisterna
Q1018282,3,megalithes,Buxentum
Q1024978,3,megalithes,Complesso nuragico di Cabu Abbas
Q1026141,3,plages,Cala Ginepro
Q102631,3,villages,Castell'Arquato
Q1026494,2,lacs,Lac de Caldonazzo
Q10285,1,megalithes,Colisée
Q102997,3,villages,Vernasca
Q103040,3,villages,Casale Marittimo
Q103136,3,villages,Montescudaio
Q1031614,1,monuments,Campo Santo
Q10326,3,villages,Usseaux
Q1033649,3,chateaux,Château de Canossa
Q1034748,1,plages,Capo Testa
Q1034749,2,plages,Capo Zafferano
Q1034751,3,rochers,Capo d'Orso
Q1034760,1,plages,Capo Vaticano
Q103538,3,villages,Bienno
Q1041718,2,maisons,Villa San Michele
Q104619,2,villages,Gardone Riviera
Q1046900,2,cascades,Cascate di Monte Gelato
Q1047594,1,piazzas,Piazza del Plebiscito
Q1048627,2,chateaux,Château Sant'Elmo
Q1048781,2,chateaux,Castelli di Cannero
Q1048809,2,chateaux,Château aragonais
Q1048826,3,chateaux,Castello Orsini-Odescalchi
Q1048836,1,chateaux,Château d'Este
Q1048850,3,chateaux,Château d'Ursino
Q1048852,3,chateaux,Château de Donnafugata
Q1048860,2,chateaux,Château San Giusto
Q1048868,3,chateaux,Château de Santo Niceto
Q1049033,2,musees,Collection Peggy-Guggenheim
Q1049884,3,megalithes,Castro (Lazio)
Q10510932,3,piazzas,Piazzetta San Marco
Q1051478,3,megalithes,Caudium
Q1051808,3,lacs,Lac de Cavazzo
Q1051820,1,abbayes,Chartreuse de Padula
Q1052171,2,musees,Ca' Rezzonico
Q105239,3,villages,Monte Isola
Q1052521,3,lacs,Lac de Mezzano
Q1052694,3,lacs,Lac de Cei
Q1053483,3,monuments,Colonne di San Lorenzo
Q1053846,2,ponts,Ponte Coperto
Q1054370,3,monuments,Palazzo Ducale
Q1054703,3,iles,Île de Cerboli
Q1054755,3,megalithes,Porte Palatine
Q1055129,3,cathedrales,Basilique San Michele Maggiore
Q1056344,2,abbayes,Chartreuse de Galluzzo
Q1056360,2,piazzas,Piazza Bra
Q1056442,3,cathedrales,Église Sainte-Anastasie de Vérone
Q1057382,3,sommets,Gruppo della Carega
Q1058967,3,megalithes,Théâtre grec de Syracuse
Q1059016,3,lacs,Lac de Pilate
Q1059942,3,sommets,Mont Lauro
Q1060445,2,sommets,Grigne
Q1060488,3,iles,Razzoli
Q1060495,3,iles,Santa Maria
Q1061229,2,piazzas,Piazza del Campo
Q1061804,2,jardins,Parc du Valentino
Q1062079,3,musees,Musée national du Risorgimento italien
Q1065115,3,sommets,Mont Figogna
Q106540844,3,cascades,Cascata del Mughetto
Q1067038,2,piazzas,Place de l'Amphithéâtre
Q106867997,3,plages,Punta Crena
Q1069732,3,sommets,Cornizzolo
Q1069796,3,ponts,Pont Alla Carraia
Q10710,3,villages,Posada
Q1071076,1,jardins,Jardin de Ninfa
Q1071495,2,maisons,Villa Barbaro
Q1071570,2,cathedrales,Basilique Saint-Ambroise
Q1072254,3,lacs,Lac de Scanno
Q1072271,2,jardins,Roseraie de Rome
Q1072277,2,jardins,Jardin botanique de Rome
Q107265381,2,cascades,Chutes du Cenghen
Q1072853,3,monuments,Arc d'Auguste
Q1073353,3,iles,Vivara
Q107338,1,iles,Lampedusa
Q1073495,3,cathedrales,Cathédrale Sainte-Marie de Cagliari
Q107641890,3,rochers,Porta di Prada
Q107980678,3,plages,Spiaggia marina di Vecchiano
Q108089796,3,plages,Spiaggia di Iscraios
Q1081290,3,lacs,Lac de Ghirla
Q108129736,3,plages,Spiaggia di Abbadia Lariana
Q10823,3,villages,Lugnano in Teverina
Q1082710,3,iles,Ile du Taureau
Q1083014,3,monuments,Palazzo Gondi
Q10842,3,villages,Montecchio
Q1084264,2,megalithes,Scolacium
Q1084616,1,volcans,Monte Nuovo
Q10855544,1,musees,Galleria dell'Accademia de Florence
Q1085811,3,musees,Pinacothèque Ambrosienne
Q1085906,3,iles,Ventotene
Q10862,3,villages,Monteleone d'Orvieto
Q1088931,3,sommets,Taburno Camposauro
Q1088991,3,lacs,Lago di Ancipa
