wikidata_id,theme_id,note,nom,departement,osm_id,horaires,tarif,site_web,lat,lon
Q16336149,musees,Villa Fogazzaro Roi,Villa Fogazzaro Roi,013,node/6423807641,We-Su 10:00-18:00; Dec 2- Mar 15 off,yes,https://www.fondoambiente.it/luoghi/villa-fogazzaro-roi,46.021400,9.033336
,musees,Torre Matilde Museo Multimediale della Città di Viareggio,Torre Matilde Museo Multimediale della Città di Viareggio,046,node/12294457401,"Tu-Th 08:30-13:30; Fr 08:30-13:30,14:30-19:30; Sa-Su 10:00-13:00,16:00-19:00; Mo off",no,https://www.viareggiocultura.it/torre-matilde/,43.866315,10.253753
Q55391992,musees,Tipoteca italiana Fondazione - Museo della Stampa e del Design Tipografico,Tipoteca italiana Fondazione - Museo della Stampa e del Design Tipografico,026,node/611720447,"Mo-Sa 09:00-13:00, 14:00-18:00; PH off",yes,http://www.tipoteca.it/,45.832549,12.031349
Q55351973,musees,Südtiroler Obstbaumuseum,Südtiroler Obstbaumuseum,021,way/165530529,Mo-Fr 09:00-14:00; Sa 12:00-17:00,yes,https://www.obstbaumuseum.it/,46.599629,11.161491
Q21552312,musees,Scuderie Aldobrandini,Scuderie Aldobrandini,058,way/177880175,"Mo off; Tu-Fr 10:00-18:00; Sa,Su,PH 10:00-19:00",yes,http://www.scuderiealdobrandini.com,41.805906,12.680992
Q55370188,musees,Sale d'Arte,Sale d'Arte,006,node/3652451542,Tu-Su 15:00-19:00,yes,http://www.asmcostruireinsieme.it/sale-darte/,44.911751,8.619951
Q73005746,musees,SMO,SMO,030,node/2722896773,"Mo-Su 10:00-13:00, Mo-Su 14:00-18:00",no,https://www.smo-center.eu/,46.127224,13.484964
Q3936546,plages,Riserva Naturale di Collemeluccio–Montedimezzo,Riserva Naturale di Collemeluccio–Montedimezzo,094,way/490050688,09:30-16:30,no,https://www.riservamabaltomolise.it/,41.717403,14.348816
Q3880406,plages,Riserva Naturale Regionale Bosco Casale,Riserva Naturale Regionale Bosco Casale,070,way/270809731,Tu-Su 10:00-15:00,yes,http://www.lipumolise.altervista.org/,41.722009,14.877421
Q67638436,musees,Reptiland,Reptiland,022,node/2487104590,Mo-Su 12:00-19:00,yes,http://www.reptiland.it/,45.884797,10.841359
Q54855050,musees,Quadreria Cesarini. Casa Museo,Quadreria Cesarini. Casa Museo,041,node/9111235578,"Mo 10:00-13:00; Tu-Fr 10:00-13:00,15:00-18:00; Sa 10:00-13:00,15:30-18:30; Su,PH 15:30-18:30",yes,https://www.comune.fossombrone.ps.it/fileadmin/grpmnt/5659/Turismo/Casa-Museo_Quadreria_Cesarini_2020.pdf,43.688936,12.802771
Q69319959,musees,Plessi Museum,Plessi Museum,021,node/3465052257,"Mo-Su,PH 06:00-22:00",no,https://www.autobrennero.it/de/die-a22/kommunikation/plessi-museum/,46.994970,11.501430
Q125393345,musees,Pinacoteca Massimo Rao,Pinacoteca Massimo Rao,062,node/7701742052,"Su [2,4] 10:30-13:00; Dec 25,Jan 01 off || Mo-Su ""su prenotazione""",no,https://www.massimorao.it/,41.236359,14.498807
Q18796164,musees,"Pinacoteca Civica ""Il Guercino""","Pinacoteca Civica ""Il Guercino""",038,node/4751214939,"Fr-Su,PH 10:00-13:00,15:00-19:00",yes,https://civicapinacotecailguercino.it,44.728172,11.288970
Q21552328,musees,"Pinacoteca ""Michele De Napoli""","Pinacoteca ""Michele De Napoli""",072,node/347426173,Tu 08:00-13:00; We-Su 10:00-13:00; Oct 01-Mar 31: Fr-Su 16:00-19:00; Apr 01-Sep 30: Fr-Su 17:00-20:00,no,https://pinacoteca.comune.terlizzi.ba.it,41.129013,16.542695
Q92063704,musees,Parco ittico Paradiso,Parco ittico Paradiso,098,way/572719424,"Mar-Sep Mo-Fr 09:00-17:30; Mar-Sep PH,Sa,Su 09:00-19:00",yes,https://www.parcoittico.it/,45.387773,9.445117
Q110461130,musees,Paper Mills Museum / Museo delle Cartiere,Paper Mills Museum / Museo delle Cartiere,024,node/11880478132,Mo-Fr off; Sa-Su 10:00-18:00,yes,https://www.museialtovicentino.it/museo/museo-delle-cartiere-di-oliero/,45.846136,11.667928
Q3893449,megalithes,Pantheon di Santa Maria in Stelle,Pantheon di Santa Maria in Stelle,023,way/138992381,"Sa 10:00-12:00,15:00-17:00 ""Su appuntamento"", Su 15:00-17:00 ""Su appuntamento""",donation,https://www.ipogeostelle.it/index.php,45.496889,11.038069
Q3867981,musees,Mutseu / Museo Sant'Eulalia,Mutseu / Museo Sant'Eulalia,118,node/1670392027,"Nov 01-Mar 21 09:30-16:00; Mar 22-Oct 31 10:00-13:00,16:00-19:00",yes,http://www.mutseu.org,39.214578,9.114628
Q3841681,musees,Musma,Musma,077,node/2229592221,Mo-Su 10:00-18:00,yes,https://www.musma.it/,40.666118,16.612251
Q21552292,musees,Museo navale,Museo navale,008,way/225512964,Tu-We 10:00-13:00; Sa-Su 15:00-22:00,yes,https://navale.imperiamusei.it/,43.879597,8.019373
Q55677776,musees,Museo il Mondo dei Treni in miniatura,Museo il Mondo dei Treni in miniatura,024,node/6520406767,"Fr 21:00-23:00; Su[1] 15:00-18:30; PH off; Aug,Nov off, Dec 26,Jan 06,easter +1 day 15:00-18:30",no,https://fermodellistialtovicentino.it/,45.718044,11.358190
Q3868311,musees,Museo diocesano d'Arte Sacra,Museo diocesano d'Arte Sacra,001,node/6433991663,"""by appointment""",no,https://www.centroculturalediocesano.it/museo-di-giaglione.html,45.141995,7.014906
Q2223812,musees,Museo diocesano Chiesa di Sant'Agostino,Museo diocesano Chiesa di Sant'Agostino,081,way/105519298,"Mo-Fr 10:00-13:00; Sa-Su 10:00-13:00, 16:00-19:00",yes,https://comune.trapani.it/turismo/chiesa-santagostino/,38.014862,12.509821
Q55360161,musees,Museo di Storia della Medicina,Museo di Storia della Medicina,058,node/6499298187,Mo-Fr 09:30-17:30,no,https://web.uniroma1.it/museostoriamedicina/,41.904863,12.514116
Q3868211,musees,Museo di Fisica,Museo di Fisica,063,node/11813405712,"Tu,We,Fr 09:00-13:30; Mo,Th 09:00-13:30, 14:15-16:30",yes,https://www.museiscienzenaturaliefisiche.it/it/musei/museo-di-fisica.html,40.846114,14.256597
Q55360153,musees,Museo di Fisica,Museo di Fisica,058,node/6500741290,"Tu 14:00-17:00, Fr 11:00-14:00 ""by appointment""",no,https://web.uniroma1.it/polomuseale/museo-fisica,41.901647,12.515752
Q55368995,musees,Museo dell’agricoltura e del mondo rurale,Museo dell’agricoltura e del mondo rurale,035,node/5586976255,"Mo-Fr 09:00-12:30; Sa 09:00-12:30; Su,PH 10:00-12:30,15:30-19:00",yes,https://museodellagricolturaedelmondorurale.com/,44.732810,10.784718
Q16336128,musees,Museo dello sbarco e Salerno Capitale,Museo dello sbarco e Salerno Capitale,065,node/2626774758,"Tu-Su 10:00-13:00,16:00-19:30; Mo off",yes,http://www.salerno1943-1944.com/,40.646960,14.817397
Q3868479,musees,Museo delle storie di Bergamo - Convento di San Francesco,Museo delle storie di Bergamo - Convento di San Francesco,016,node/12091685560,"Oct 01-May 31: Tu-Su 09:30-13:00,14:30-18:00; Jun 01-Sep 30 Tu-Fr 10:00-13:00,14:30-18:00; PH,Sa,Su 10:00-19:00; Jan 01,Dec 25 off",yes,https://www.museodellestorie.bergamo.it/luogo/convento-san-francesco/,45.705273,9.665188
Q67644601,musees,Museo delle guide,Museo delle guide,022,node/335605379,We-Mo 15:00-19:00+,no,https://www.campigliodolomiti.it/it/storia-cultura/musei-masi-corti-palazzi/museo-delle-guide-e-delle-genti-di-campiglio,46.228172,10.827842
