wikidata_id,name,labels
Q10293286,"Gênes, les Strade Nuove et le système des palais des Rolli",unesco
Q10351991,"Portovenere, Cinque Terre et les îles",unesco
Q107674350,"cycles de fresques du XIVe siècle à Padoue",unesco
Q109123298,"Ivrée, cité industrielle du XXe siècle",unesco
Q11352141,"Venise et sa lagune",unesco
Q1214318,"Les Lombards en Italie. Lieux de pouvoir",unesco
Q122730699,"Karst et grottes évaporitiques de l'Apennin du Nord",unesco
Q1238775,"domus de janas",unesco
Q127466372,"Le système des théâtres à l’italienne en condominio des XVIIIe et XIXe siècles en Italie centrale",unesco
Q129503044,"Via Appia. Regina Viarum",unesco
Q1472544,"Sacro Monte di Ossuccio",unesco
Q15221022,"Cathédrale, Torre Civica et Piazza Grande, Modène",unesco
Q156011,"forêts primaires de hêtres des Carpates et forêts anciennes de hêtres d’Allemagne",unesco
Q15602246,"nécropoles étrusques de Cerveteri et de Tarquinia",unesco
Q15604441,"Syracuse et la nécropole rocheuse de Pantalica",unesco
Q15613336,"Centre historique de Saint-Marin et mont Titano",unesco
Q15623665,"Mantoue et Sabbioneta",unesco
Q16064866,"grandes villes d'eaux d'Europe",unesco
Q16735627,"Ferrare et son delta du Pô",unesco
Q16886821,"Monuments paléochrétiens de Ravenne",unesco
Q16913064,"Les trulli d'Alberobello",unesco
Q16913154,"Assise, la Basilique de San Francesco et autres sites franciscains",unesco
Q16920958,"zones archéologiques de Pompéi, Herculanum et Torre Annunziata",unesco
Q16962666,"18th-Century Royal Palace at Caserta with the Park, the Aqueduct of Vanvitelli, and the San Leucio Complex",unesco
Q17163308,"Centre historique d'Urbino",unesco
Q17163322,"centre historique de Sienne",unesco
Q17296768,"Paysage viticole du Piémont : Langhe-Roero et Monferrato",unesco
Q17651474,"Porta Urbica",unesco
Q179883,"îles Éoliennes",unesco
Q18448486,"Centre historique de Rome, les biens du Saint-Siège situés dans cette ville bénéficiant des droits d'extra-territorialité et Saint-Paul-hors-les-Murs",unesco
Q18649472,"Villes du baroque tardif de la vallée de Noto",unesco
Q188315,"Porto Venere",unesco
Q189417,"voie Appienne",unesco
Q2028,"Vérone",unesco
Q20963672,"Palerme arabo-normande et les cathédrales de Cefalú et Monreale",unesco
Q212214,"côte amalfitaine",unesco
Q237,"Vatican",unesco
Q2558177,"Dolomites",unesco
Q2707802,"Centre historique de Florence",unesco
Q2945646,"Centre historique de Pienza",unesco
Q2962401,"chemin de fer rhétique dans les paysages de l'Albula et de la Bernina",unesco
Q32797097,"ouvrages de défense vénitiens du XVIe au XVIIe siècle : Stato da Terra - Stato da Mar occidental",unesco
Q3485435,"site fossilifère du Monte San Giorgio",unesco
Q3575761,"Zone archéologique et la basilique patriarcale d’Aquilée",unesco
Q3678423,"Centre historique de Vérone",unesco
Q370956,"Vicenza et Villas de Palladio en Vénétie",unesco
Q3909051,"arcades de Bologne",unesco
Q4580,"sites palafittiques préhistoriques autour des Alpes",unesco
Q461272,"Résidences de la famille royale de Savoie",unesco
Q499242,"parc de l'Etna",unesco
Q54430642,"Via Cairoli",unesco
Q574879,"villa médicéenne",unesco
Q65016468,"Parc national du Cilento et du Vallo Diano, avec les sites archéologiques de Paestum et Velia et la Chartreuse de Padula",unesco
Q65028346,"Les Dolomites",unesco
Q65029145,"Les Collines du Prosecco de Conegliano et Valdobbiadene",unesco
Q726842,"Crespi d'Adda",unesco
Q753162,"Sacri Monti du Piémont et de Lombardie",unesco
Q832957,"Centre historique de Naples",unesco
Q945514,"art rupestre du Valcamonica",unesco
Q9724840,"centre historique de San Gimignano",unesco
