decision,curator_note,theme_id,name,wikidata_id
keep,,,"Abbaye Saint-Michel-de-la-Cluse",Q19881
keep,,,"Chartreuse de Pavie",Q654443
keep,,,"Église et couvent de la Trinité-des-Monts de Rome",Q1229008
keep,,,"Abbaye du Mont-Cassin",Q334051
keep,,,"San Lazzaro degli Armeni",Q1791020
keep,,,"Abbaye de Pomposa",Q514366
keep,,,"Sanctuaire de l'Averne",Q14552418
keep,,,"Chartreuse Saint-Martin",Q859732
keep,,,"Chartreuse de Padula",Q1051820
keep,,,"Basilique Sainte-Justine",Q219502
promote,,,"Ermitage de Santa Caterina del Sasso",Q1227391
keep,,,"Cascata delle Marmore",Q38580
keep,,,"Cascate del Serio",Q3661556
keep,,,"Cascade du Toce",Q37329
keep,,,"Cascades de Riva",Q60847935
keep,,,"Cascades de Barbiano",Q3661559
keep,,,"Cascades de Nardis",Q3661552
keep,,,"Cascade Piscina Irgas",Q48315714
keep,,,"Cascade de Parcines",Q3661539
keep,,,"Cascade de Lillaz",Q36989690
keep,,,"Chute d'Isollaz",Q68663076
keep,,,"Basilique Saint-Pierre",Q12512
keep,,,"Dôme de Milan",Q18068
keep,,,"Cathédrale de Modène",Q753721
keep,,,"Église Santa Maria delle Grazie de Milan",Q244952
keep,,,"Basilique Santa Maria Novella",Q51175
keep,,,"Cathédrale Santa Maria del Fiore",Q191739
keep,,,"Basilique Sainte-Marie-Majeure de Rome",Q186282
keep,,,"Chapelle Sixtine",Q2943
keep,,,"Basilique Saint-Vital",Q721817
keep,,,"Basilique Saint-Jean-de-Latran",Q84090
promote,,,"Dôme de Pise",Q1754247
promote,,,"Basilique Saint-Marc",Q172988
promote,,,"Basilique Saint-François",Q207486
keep,,,"Castel del Monte",Q215897
keep,,,"Château Saint-Ange",Q486382
keep,,,"Château de Miramare",Q165069
keep,,,"Château d'Este",Q1048836
keep,,,"Château des Sforza",Q23354
keep,,,"Palais royal de Venaria",Q19838
keep,,,"Château de Torrechiara",Q13291063
keep,,,"Fort de Bard",Q2255867
keep,,,"Castel Nuovo",Q781219
keep,,,"Forteresse de Fenestrelle",Q256790
promote,,,"Rocca Scaligera",Q3662370
keep,,,"Lagune de Venise",Q76925
keep,,,"Lagune de Grado",Q2258312
keep,,,"Lagune de Marano",Q3216288
keep,,,"Gorges de l'Alcantara",Q1536232
keep,,,"Gorge de Su Gorroppu",Q1534505
keep,,,"Gorges du Furlo",Q110589478
keep,,,"Gorges d'Uriezzo",Q17637767
keep,,,"Cascades de Stanghe",Q3661568
keep,,,"Gorge de Hône",Q89189562
keep,,,"Grotte Bleue",Q605185
keep,,,"Grottes de Frasassi",Q1994964
keep,,,"Grotte de Neptune",Q1501051
keep,,,"Grottes de Castellana",Q1547653
keep,,,"Oreille de Denys",Q282839
keep,,,"Grotte de Cavallone",Q3392526
keep,,,"Grotta Gigante",Q1547628
keep,,,"Cascades du Varone",Q3661554
keep,,,"Grottes du Bue Marino",Q1225474
keep,,,"Grottes de Toirano",Q1332930
promote,,,"Grottes de Pertosa",Q1547618
keep,,,"Île d'Elbe",Q45328
keep,,,"Stromboli",Q131148
keep,,,"Capri",Q173292
keep,,,"Lampedusa",Q107338
keep,,,"Murano",Q52437
keep,,,"Ischia",Q189387
keep,,,"Torcello",Q52441
keep,,,"Asinara",Q730500
keep,,,"Vulcano",Q207323
keep,,,"Burano",Q52439
promote,,,"Île d'Ortygie",Q1233234
