# Décisions éditoriales, cumulées au fil des revues.
#
# keep    : validé, et conservé même si un plancher venait à monter.
# drop    : écarté du catalogue.
# promote : remonté dans le classement.
# demote  : descendu dans le classement.
#
# Ce fichier est la mémoire de la curation. Le supprimer perd tout le travail
# de relecture ; en corriger une ligne suffit à revenir sur un verdict.
#
wikidata_id,decision,name,note
Q1010268,keep,Basilique Saint-Sernin de Toulouse,
Q1010703,drop,Château d'Aguilar,
Q1010879,keep,Château d'Arques,
Q1011026,promote,Château de Beynac,
Q1011357,keep,Château de Castelnaud,
Q1011361,drop,Château de Châlus-Chabrol,
Q1011384,drop,Château de Couzan,
Q1011390,keep,Château de Clisson,
Q1011395,keep,Tour de Crest,
Q1011487,keep,Château de Dourdan,
Q1011692,keep,Château de Falaise,
Q1011752,keep,Château de Fleckenstein,
Q1011806,keep,Château de Foix,
Q1011985,keep,Château de Gisors,
Q1012436,keep,Chambon-sur-Voueize,
Q1012796,keep,Château de la Hunaudaye,
Q1012864,drop,Château de Langoiran,
Q1012883,keep,Château de Laval,
Q1012889,drop,Château de Lavardin,
Q1012942,keep,Château de Lichtenberg,
Q1013167,promote,Château de Murol,
Q1013191,keep,Château de Montségur,
Q1013196,keep,Château de Najac,
Q1013541,keep,Château de Puilaurens,
Q1013802,drop,Château de Sagonne,
Q1013993,keep,Château de Sedan,
Q1014245,drop,Château de Termes,
Q1014374,keep,Château de Vendôme,
Q10149,keep,Théâtre antique de Vienne,
Q1017323,keep,Cathédrale Notre-Dame-de-Guadeloupe de Basse-Terre,
Q1020145,keep,Tombelaine,
Q102047714,drop,Viaduc-métro de Charenton,
Q1024682,keep,La Désirade,
Q1025704,drop,Terrasse du café le soir,
Q1025950,keep,Filitosa,
Q1026237,keep,Calanques de Piana,
Q1031071,keep,Phare de l'Espiguette,
Q1032205,keep,Cathédrale Notre-Dame-de-l'Assomption de Clermont-Ferrand,
Q10333407,keep,Musée Baron-Martin,
Q1034136,keep,Cap Camarat,
Q1034137,keep,Cap Canaille,
Q1034143,keep,Cap Blanc-Nez,
Q1034146,keep,Cap Ferrat,
Q1034149,keep,Cap Ferret,
Q1034746,drop,Cap de Pertusato,
Q10421187,drop,Atelier 17,
Q104314,keep,Musée maritime fluvial et portuaire de Rouen,
Q1046847,keep,Cascade Blanche,
Q1046858,keep,Cascade de Grand Galet,
Q1046868,keep,Cascade Niagara,
Q1046875,keep,Cascade du Ray-Pic,
Q1046882,keep,Cascades du Hérisson,
Q1046886,keep,Cascades de Gimel,
Q1048155,keep,Château d'Angers,
Q1048391,keep,Site de Cassinomagus,
Q1048878,keep,Cucuruzzu,
Q1049348,keep,Cathédrale Sainte-Marie d'Auch,
Q1049644,keep,Piton de la Fournaise,
Q1049728,keep,Cathédrale Saint-Pierre de Rennes,
Q1050483,drop,Val de Loire,
Q105189951,drop,Maison natale de Pierre Bayle,
Q1054169,keep,Centre Pompidou-Metz,
Q1060111,keep,Pont de Saint-Nazaire,
Q1061061,keep,Château de Loches,
Q1061959,demote,Pont Notre-Dame,
Q1062180,keep,Pont d'Arc,
Q1063236,keep,Château Margaux,
Q1064107,keep,Capdenac,
Q1065573,keep,Phare de Sainte-Marie,
Q106581845,keep,Cascade de la Reculaz,
Q1067494,drop,Tour du Temple,detruite en 1808
Q1067900,drop,Massif de la Chartreuse,
Q1068630,drop,Chaîne des Puys,
Q106934,keep,Cathédrale Notre-Dame d'Amiens,
Q1069352,keep,Chemin des Révoires,
Q1073098,keep,Pont des Invalides,
Q1075988,drop,Palais du Louvre,
Q1083336,keep,Cathédrale Saint-Pierre d'Annecy,
Q108338902,demote,Reculée de Balerne,
Q1084011,keep,Cathédrale Sainte-Réparate de Nice,
Q108596099,keep,L'Envol des pionniers,
Q108837387,demote,Aiguille Percée,
Q108934948,drop,Maison Julien-Gracq,
Q109038270,keep,Gorges de Saint-Georges,
Q109038273,keep,Gorges du Verdouble,
Q109045439,keep,Monument torréen de Foce,
Q1090492,keep,Château-Gaillard,
Q1090558,drop,Château Lafite Rothschild,
Q1090706,keep,Fort de Joux,
Q1090764,drop,Château d'Yquem,
Q1093094,keep,Cirque de Cilaos,
Q1093097,keep,Cirque de Salazie,
Q1093112,keep,Cirque de Gavarnie,
Q1093147,keep,Phare du Stiff,
Q1094302,keep,Musée de la Musique,
Q1094332,keep,Musée de l'histoire de l'immigration,
Q1094338,keep,Cité des sciences et de l'industrie,
Q1094822,drop,Château de Tours,
Q10964453,keep,Stantari,
Q10984637,keep,Tour de la Mortella,
Q1099066,demote,Théâtre Graslin,
Q1102200,keep,Cathédrale Saint-Louis de Blois,
Q1103770,keep,Abbaye de Graville,
Q1103952,keep,Tournon-d'Agenais,
Q1104188,keep,Villeréal,
Q1104681,keep,Cathédrale Notre-Dame-de-la-Sède de Tarbes,
Q1107373,keep,Col de Joux Plane,
Q110929540,keep,Musée Jean-Racine,
Q1110479,keep,Colomby de Gex,
Q1111051,promote,Colonne Vendôme,
Q111207734,keep,Cascades de Caraoucou,
Q1113596,keep,Combe-Capelle,
Q1115037,drop,Massif des Corbières,
Q1117166,keep,Château d'Haroué,
Q111974626,keep,Gorges de Baudinard,
Q111974909,drop,Basses gorges du Verdon,
Q1120837,keep,Étang d'Urbino,
Q1122731,keep,Château du Clos Lucé,
Q1122854,drop,Château de Selles-sur-Cher,
Q1124095,keep,Musée de Cluny,
Q1125842,keep,Château de la Verrerie,
Q112659724,keep,Cascade de la Vis,
Q1128657,drop,Musée de la Chasse et de la Nature,
Q1132377,drop,Abbaye de Dalon,
Q113389,keep,Château d'Azay-le-Rideau,
Q1136951,keep,Cathédrale Notre-Dame-de-l'Annonciation de Nancy,
Q1137826,keep,Abbaye de Beaulieu-en-Rouergue,
Q1137837,keep,Montagne de Céüse,
Q1137944,keep,Abbaye d'Aubazine,
Q113840948,promote,Site d'Étretat,
Q1138519,keep,Sword Beach,
Q1139060,keep,Pic du Midi de Bigorre,
Q1139802,drop,Creugenat,
Q1140060,demote,Pont Saint-Louis,
Q1141846,keep,Château de Cheverny,
Q1142363,keep,Château de Valençay,
Q1142549,keep,Crêt de la Perdrix,
Q1142554,keep,Crêt de la Neige,
Q1142988,keep,Musée Calvet,
Q1143049,keep,Château de Montsoreau,
Q1143558,keep,Château de Langeais,
Q1144686,keep,Laugerie-Basse,
Q1146645,demote,Voie Domitienne,
Q1149310,keep,Soufrière,
Q1150222,keep,Château de Saumur,
Q1152228,keep,Pointe des Châteaux,
Q1152950,keep,Villeneuve,
Q1153273,keep,Petite-Terre,
Q115476,keep,Lyons-la-Forêt,
Q1162474,keep,Escalier du roi d'Aragon,
Q1163298,keep,Roc de Saint-Cirq,
Q1165235,keep,Musée Nicéphore-Niépce,
Q1165249,drop,Hôtel de Lassay,
Q1165266,keep,Cathédrale Saint-Mammès de Langres,
Q1165428,drop,La Quina,
Q1165526,keep,Musée Jacquemart-André,
Q11682090,keep,Géant du Manio,
Q117210,keep,Arc de Germanicus,
Q1189865,keep,Dent d'Oche,
Q1189890,keep,Dentelles de Montmirail,
Q1189955,keep,Musée de l'Air et de l'Espace,
Q1190649,promote,Château de Monte-Cristo,
Q1191209,keep,Cathédrale Saint-Maurice d'Angers,
Q1192381,drop,Château de Menars,
Q11937330,keep,Abbatiale Saint-Volusien,
Q11938382,drop,Narbo Martius,
Q1196667,keep,Pont Louis-Philippe,
Q1196669,drop,Pont Amont,
Q1196688,keep,Pont de Sully,
Q1200500,keep,Cathédrale Notre-Dame-des-Doms d'Avignon,
Q12029511,drop,Abbaye Notre-Dame de Gercy,
Q121068983,drop,Stade nautique municipal Florence Arthaud,
Q122281,keep,Abri de Cap Blanc,
Q1226870,drop,Diois,
Q1227366,keep,Lac d'Aiguebelette,
Q1229179,keep,Abbaye Notre-Dame de Tamié,
Q1229863,keep,Monastère Sainte-Marie de Prouilhe,
Q1229917,drop,Palais de la Légion d'honneur,
Q122999925,keep,Cascade d'Angon,
Q1230290,keep,Le Belvédère,
Q1231132,drop,Abbaye de La Ferté,
Q1232116,keep,Abbaye de Luxeuil,
Q1232140,drop,Abbaye Notre-Dame de Bonneval,
Q12324327,keep,Domaine des Colombières,
Q1232844,keep,Grotte du Mas-d'Azil,
Q1233587,drop,Abbaye de Varennes,
Q123371156,keep,Cascade du Py,
Q1235866,drop,Dolmen de Brevilliers,
Q1235906,drop,Dolmen de Bagneux,
Q1235923,keep,Dolmen de Fontanaccia,
Q1236032,drop,Musée Condé,
Q1237974,drop,Couvent des Dominicains de Colmar,
Q123812815,keep,Cascade Didier,
Q1242068,demote,Donon,
Q1242274,drop,Maurienne,
Q1242545,drop,Arènes romaines de Béziers,
Q1243526,keep,Porte de Mars,
Q124400021,keep,Cascade de Bérard,
Q1245463,keep,Abbaye Notre-Dame de Sénanque,
Q1245499,keep,Abbaye de Flaran,
Q124934534,keep,Cascade d'Arcouzan,
Q1249452,keep,Cathédrale Saint-Pierre-et-Saint-Paul de Maguelone,
Q1250285,keep,Pointe de la Torche,
Q125814,keep,Château de Germolles,
Q1263082,drop,Jardin Atlantique,
Q1265070,demote,Musée Grévin,
Q1267547,keep,Mont Mézenc,
Q1270698,keep,Désert de Retz,
Q1272235,keep,Phare du Créac'h,
Q1275971,keep,Basilique du Sacré-Cœur de Paray-le-Monial,
