# Les seize forêts labellisées par l'Office national des forêts.
#
# `label-probe Q43187359` répond ZÉRO sur les cinq propriétés : Wikidata ne
# rattache aucun lieu français à ce label. Cette liste est donc la seule source.
#
# Onze sur seize. Les quatre premières étaient déjà collectées ; les sept
# suivantes ont dû être ÉPINGLÉES dans places.csv, car leur classe Wikidata est
# « forêt » (Q4421) et le thème n'en collecte qu'une, « forêt domaniale »
# (Q3079027). Sans épinglage, le Q-id ici ne servirait à rien : un label
# étiquette, il ne collecte pas.
#
# LES CINQ AUTRES N'EXISTENT PAS SUR WIKIDATA. Cherché, et c'est un résultat,
# pas un échec de recherche — `suggest-qids` sur le mot distinctif ne rend
# aucune entité « forêt » pour Rouen/Roumare, le Bassin d'Arcachon, le Val
# Suzon, l'Aigoual ni les Volcans de Martinique.
#
# Trois entités VOISINES existent, et il ne faut pas les prendre : le mont
# Aigoual (Q1836325) est un sommet, déjà au catalogue sous `sommets` ; la
# réserve naturelle régionale du Val-Suzon (Q15695567) et la réserve
# biologique intégrale de la Montagne Pelée (Q65953533) sont des aires
# protégées. Aucune n'est une forêt : les ranger ici mettrait des objets faux
# dans une liste officielle, et le mont Aigoual y ferait doublon avec lui-même.
#
# Onze exactes valent mieux que quatorze dont trois sont autre chose.
#
# ⚠️ Les seize noms viennent d'une recherche web, le site de l'ONF étant
# inatteignable depuis le conteneur. À confronter à onf.fr.
#
wikidata_id,name
Q3079045,forêt domaniale de Verdun
Q761970,forêt de Tronçais
Q1595270,forêt de Haguenau
Q3078936,forêt de Retz
Q1293678,forêt de Fontainebleau
Q3078803,forêt de Bercé
Q3078997,forêt de la Grande Chartreuse
Q3079009,forêt de la Sainte-Baume
Q49329134,forêt de la Montagne de Reims
Q2911447,forêt de Boscodon
Q3078859,forêt de Darney
