wikidata_id,name
Q1798855,La Hague
Q501726,Dune du Pilat
Q317349,Conques
Q389269,Cité de Carcassonne
Q2182798,Cirque de Navacelles
Q790408,Aven d'Orgnac
Q1338868,Gorges du Gardon
Q687057,Gorges du Verdon
Q1816468,La Fontaine de Vaucluse
Q2974276,Cirque du Fer à Cheval
Q204979,Vézelay
Q1034143,Cap Blanc-Nez
Q531030,Cap Gris-Nez
Q175676,Cap Fréhel
Q2937134,Cap d'Erquy
Q420376,Cap Sizun
Q2867477,Presqu'île de Quiberon
Q463159,Vallée de la Vézère
Q1013191,Montségur
Q1093112,Cirque de Gavarnie
Q6650,Massif du Canigó
Q660013,Minerve
Q386343,Lac du Salagou
Q2974261,Cirque de Mourèze
Q1518970,Concors-Sainte-Victoire
Q204645,Presqu'île de Giens
Q626222,Mont Gerbier-de-Jonc
Q1267547,Mont Mézenc
Q1334057,Massif du Ballon d'Alsace
Q2413347,Îles Sanguinaires
Q3379571,Pointe de la Parata
Q22939731,Rocamadour
Q1046882,Vallée du Hérisson
Q3422612,Reculée d'Arbois
Q3422616,Reculée de Poligny
Q108338902,Reculée de Balerne
Q1538251,Gorges du Tarn
Q1538216,Gorges de l'Ardèche
Q1369923,Massif de l'Estérel
Q3111000,Gorges de l'Hérault
