# Noms d'affichage choisis par le curateur.
#
# Wikidata donne un libellé, pas un titre. Il est parfois exact mais illisible
# (« musée des impressionnismes Giverny »), parfois encombré d'une précision
# qui n'a de sens que dans une base de données. Une ligne ici l'emporte.
#
# Ce n'est PAS un verdict d'inclusion : renommer et écarter sont deux gestes
# différents, et les mélanger rendrait `decisions.csv` ambigu. D'où ce fichier.
#
wikidata_id,name,note
Q123437912,Pointe de la Courte Dune,
Q1369923,Massif de l'Estérel,
Q1798855,La Hague,
Q2411837,Camargue gardoise,
Q2867477,Presqu'île de Quiberon,
Q15063077,Axe Majeur,le libellé Wikidata est « Axe majeur » ; l'œuvre porte une majuscule aux deux mots
Q3232046,Colonnes de Buren,le titre officiel « Les Deux Plateaux » ne se cherche pas — la recherche de l'app ne couvre que le nom, la commune et le département
Q638250,Chapelle Notre-Dame-du-Haut,le libellé Wikidata ajoute « de Ronchamp » que la fiche affiche déjà comme commune
Q2587975,Cité radieuse,idem pour « de Marseille » ; et la majuscule, que Wikidata ne met pas
Q1395337,Familistère de Guise,le libellé Wikidata est en minuscule
