# Membres de l'association Les Plus Beaux Détours de France.
#
# Cent quatre communes en 2026, choisies pour leur patrimoine et leur art de
# vivre. Ce ne sont pas des villages : ce sont de petites VILLES, souvent des
# chefs-lieux de canton, et c'est exactement ce qui manquait — L'Isle-Adam,
# Beaugency, Meymac. Qui visite le Val-d'Oise doit passer par L'Isle-Adam, et
# le catalogue ne la connaissait pas.
#
# Wikidata ne porte PAS cette liste : `label-probe` ne rend rien sur les trois
# propriétés usuelles. Elle se saisit donc à la main, ici, comme celle des
# Plus Beaux Villages.
#
# Le thème « Villages » n'a AUCUNE classe Wikidata : il n'est alimenté que par
# ces listes. Une commune absente d'ici est invisible, quel que soit son renom.
#
# Pour remplir ce fichier depuis la liste officielle :
#
#     python -m roam_pipeline resolve-list detours.txt \
#         --into plus-beaux-detours --classe Q484170
#
# Q484170 est la classe « commune française ». Sans elle, la recherche ne
# regarde que la collecte, où ces communes ne sont pas : seul le château de
# L'Isle-Adam y figure, sous le plancher de son thème.
#
# Puis `relabel` pour apposer le label, et `build`.
#
wikidata_id,name
wikidata_id,name
Q829358,Loudun
Q241940,Givet
Q231720,Honfleur
Q476584,Joigny
Q181886,Châteaudun
Q688187,Charlieu
Q327259,Crest
Q214580,Château-Gontier
Q194138,Chinon
Q429910,Beaugency
Q271085,Sisteron
Q244565,Trévoux
Q203293,Langres
Q208794,Lunéville
Q184359,Le Puy-en-Velay
Q380689,L'Argentière-la-Bessée
Q191772,Mende
Q323660,Vals-les-Bains
Q213501,Villefranche-de-Rouergue
Q473842,Saint-Valery-sur-Somme
Q55905,Pontivy
Q659335,Saint-Cyr-sur-Mer
Q839537,Moret-sur-Loing
Q317271,Verneuil-sur-Avre
Q744172,Grimaud
Q209810,Nyons
Q203303,Brioude
Q236609,Tende
Q474503,Valençay
Q840190,Thônes
Q207570,Thann
Q22754,Bitche
Q343,La Flèche
Q207614,Figeac
Q631977,Mazamet
Q214540,Pontarlier
Q203285,Provins
Q22727,Obernai
Q213344,Montreuil-sur-Mer
Q688183,Aups
Q213349,Loches
Q212352,Montargis
Q214432,Nogent-le-Rotrou
Q4043,Fougères
Q201906,Uzerche
Q200202,Saint-Léonard-de-Noblat
Q634124,Luxeuil-les-Bains
Q687892,Saint-Galmier
Q211593,Eu
Q606352,Mehun-sur-Yèvre
Q154728,Toul
Q455660,Gréoux-les-Bains
Q207572,Avallon
Q324551,Lescar
Q348807,Saint-Jean-d'Angély
Q670998,Rieux-Volvestre
Q840237,Ollioules
Q472574,Pernes-les-Fontaines
Q323399,Gravelines
Q383472,Clisson
Q58635368,La Rochefoucauld-en-Angoumois
Q626309,Saint-Amand-les-Eaux
Q213497,Fontenay-le-Comte
Q238377,Pont-Aven
Q213299,Jonzac
Q208439,Châtillon-sur-Chalaronne
Q133824,Issoire
Q504887,Vaison-la-Romaine
Q467294,Néris-les-Bains
Q193937,Nantua
Q243012,Biot
Q212456,Commercy
Q271962,Lapalisse
Q274846,Saint-Renan
Q523015,Saint-Yrieix-la-Perche
Q838870,Montreuil-Bellay
Q911450,L'Isle-Adam
Q244707,Châtillon-sur-Seine
Q244934,Bergues
Q185721,Bar-le-Duc
Q177352,Brantôme
Q633811,Pézenas
Q191784,Meymac
Q1388682,Saint-Symphorien-sur-Coise
Q201311,Dinan
Q688473,Chauvigny
Q22636,Wissembourg
Q659992,Domfront
Q212444,Saint-Claude
Q382746,Forges-les-Eaux
Q496066,Revel
Q131581675,Neufchâteau
Q367667,Pont-Audemer
Q589980,Saint-Pierre
Q217161,Aubusson
Q234704,Vitré
Q192744,Limoux
Q6381,Sarlat-la-Canéda
Q460787,Louhans-Châteaurenaud
