# Membres de l'association que Wikidata n'enregistre pas.
#
# La liste officielle fait autorité, pas Wikidata : Rocamadour — cinquante-cinq
# versions linguistiques — est membre des Plus Beaux Villages de France et
# n'apparaît nulle part dans la requête `P463`. Cette liste COMPLÈTE ce que
# Wikidata rend, elle ne le remplace pas.
#
# Le thème « Villages » n'a AUCUNE classe Wikidata : il est alimenté par ces
# seules listes. Un village absent d'ici est donc invisible, quel que soit son
# renom. C'est pourquoi le complément compte.
#
# Pour retrouver les identifiants d'une liste de noms :
#     python -m roam_pipeline resolve-list villages.txt --into plus-beaux-villages
#
wikidata_id,name
Q382628,Rocamadour
Q225751,Penne-d'Agenais
Q632081,Saint-Bertrand-de-Comminges
Q541007,Le Malzieu-Ville
Q457023,Colmars
Q691141,Blangy-le-Château
Q632276,Fontevraud-l'Abbaye
Q318168,Bergheim
Q384722,Grignan
Q743377,La Romieu
Q687259,Mont-Dauphin
Q828602,Prats-de-Mollo-la-Preste
Q473957,Hierges
Q965394,Saorge
Q733035,Bormes-les-Mimosas
Q732788,Martel
Q837588,Veules-les-Roses
Q1012436,Chambon-sur-Voueize
Q459683,Sancerre
Q635125,Cordes-sur-Ciel
Q688450,Cotignac
Q270819,Lavoûte-Chilhac
Q1103952,Tournon-d'Agenais
Q274678,Entrevaux
Q3308728,Brouage
Q1104188,Villeréal
Q540359,Marcolès
Q817881,Le Castellet
Q664024,Polignac
Q1152950,Villeneuve
Q60587245,Beaulieu-sur-Dordogne
Q60618216,Châtillon-en-Diois
