# Niveau de chaque lieu tel que le curateur l'a vu à sa dernière revue.
#
# Le niveau d'un lieu n'est pas une propriété du lieu : c'est son rang dans sa
# collection. Ajouter un signal au score, ou seulement collecter dix lieux de
# plus, peut donc faire descendre un lieu qu'on avait validé — sans que rien ne
# le dise.
#
# Ce fichier est la photographie du dernier état VU. `build` compare et signale
# les écarts ; `apply-review` la met à jour, parce que c'est le moment où le
# curateur a regardé.
#
wikidata_id,tier,theme,name
Q1010268,1,abbayes,Basilique Saint-Sernin de Toulouse
Q1010879,3,chateaux,Château d'Arques
Q1011026,2,chateaux,Château de Beynac
Q1011357,3,chateaux,Château de Castelnaud
Q1011384,3,chateaux,Château de Couzan
Q1011390,3,chateaux,Château de Clisson
Q1011395,3,chateaux,Tour de Crest
Q1011401,3,chateaux,Château de Crussol
Q1011487,3,chateaux,Château de Dourdan
Q1011692,3,chateaux,Château de Falaise
Q1011752,3,chateaux,Château de Fleckenstein
Q1011806,2,chateaux,Château de Foix
Q1011980,3,chateaux,Château de Guirbaden
Q1011985,3,chateaux,Château de Gisors
Q1012393,3,chateaux,Château du Haut-Barr
Q1012421,3,chateaux,Château de Hohenfels
Q1012796,3,chateaux,Château de la Hunaudaye
Q1012883,3,chateaux,Château de Laval
Q1012942,3,chateaux,Château de Lichtenberg
Q1013050,3,chateaux,Château de Lusignan
Q1013167,2,chateaux,Château de Murol
Q1013191,1,chateaux,Château de Montségur
Q1013196,3,chateaux,Château de Najac
Q1013503,3,chateaux,Château de Pirou
Q1013541,2,chateaux,Château de Puilaurens
Q1013738,3,chateaux,Château de Roquefixade
Q1013993,3,chateaux,Château de Sedan
Q1014314,3,chateaux,Château de Trémazan
Q1014374,3,chateaux,Château de Vendôme
Q1014739,3,chateaux,Château d'Étampes
Q10149,3,megalithes,Théâtre antique de Vienne
Q1017323,3,cathedrales,Cathédrale Notre-Dame-de-Guadeloupe de Basse-Terre
Q1020145,2,iles,Tombelaine
Q1024682,2,iles,La Désirade
Q1025950,2,megalithes,Filitosa
Q1026237,2,plages,Calanques de Piana
Q1028251,3,chateaux,Château de Grosbois
Q1031071,2,phares,Phare de l'Espiguette
Q1032205,2,cathedrales,Cathédrale Notre-Dame-de-l'Assomption de Clermont-Ferrand
Q10333407,3,musees,Musée Baron-Martin
Q1034136,3,plages,Cap Camarat
Q1034137,3,sommets,Cap Canaille
Q1034143,1,plages,Cap Blanc-Nez
Q1034146,2,plages,Cap Ferrat
Q1034148,3,plages,Cap Leucate
Q1034149,2,plages,Cap Ferret
Q1034744,3,plages,Capo Rosso
Q104314,3,musees,Musée maritime fluvial et portuaire de Rouen
Q1045385,3,musees,Carré d'art
Q1046847,2,cascades,Cascade Blanche
Q1046858,2,cascades,Cascade de Grand Galet
Q1046868,2,cascades,Cascade Niagara
Q1046875,2,cascades,Cascade du Ray-Pic
Q1046882,2,cascades,Cascades du Hérisson
Q1046886,2,cascades,Cascades de Gimel
Q1048155,2,chateaux,Château d'Angers
Q1048391,2,megalithes,Site de Cassinomagus
Q1048878,3,megalithes,Cucuruzzu
Q1049348,2,cathedrales,Cathédrale Sainte-Marie d'Auch
Q1049644,1,volcans,Piton de la Fournaise
Q1049728,2,cathedrales,Cathédrale Saint-Pierre de Rennes
Q105189951,3,maisons,Maison natale de Pierre Bayle
Q1054169,2,musees,Centre Pompidou-Metz
Q1060111,2,ponts,Pont de Saint-Nazaire
