wikidata_id,name,labels
Q10444176,"Les Causses et les Cévennes, paysage culturel de l’agro-pastoralisme méditerranéen",unesco
Q108094935,"Nice, la ville de la villégiature d’hiver de riviera",unesco
Q110350440,"cimetière de Mondement-Montgivroux",unesco
Q122784272,"29th Division Memorial",unesco
Q122808656,"cimetière militaire allemand Kahm",unesco
Q122808695,"cimetière militaire Germania",unesco
Q122819132,"Carré des victimes civiles de Gerbeviller",unesco
Q122842228,"monument musulman de Douaumont",unesco
Q122878257,"Stèle des fusillés de Fleury-devant-Douaumont",unesco
Q12307718,"cimetière militaire jutlandais de Braine",unesco
Q1330981,"Lagons de Nouvelle-Calédonie",unesco
Q135287050,"mégalithes de Carnac et des rives du Morbihan",unesco
Q136703898,"Q136703898",unesco
Q140698900,"forteresses royales capétiennes du Languedoc",unesco
Q140814404,"Terres et mers australes françaises",unesco
Q1469828,"Fromelles (Pheasant Wood) Military Cemetery",unesco
Q15241016,"Centre historique d’Avignon",unesco
Q156011,"forêts primaires de hêtres des Carpates et forêts anciennes de hêtres d’Allemagne",unesco
Q15617061,"chevalement de la fosse n° 5 des mines de Meurchin",unesco
Q15726321,"théâtre antique et ses abords et « Arc de Triomphe » d'Orange",unesco
Q15726441,"De la grande saline de Salins-les-Bains à la saline royale d’Arc-et-Senans, la production du sel ignigène",unesco
Q15728409,"Places Stanislas, de la Carrière et d'Alliance",unesco
Q15728421,"Golfe de Porto : calanche de Piana, golfe de Girolata, réserve de Scandola",unesco
Q15948413,"nécropole nationale de Moosch",unesco
Q16064866,"grandes villes d'eaux d'Europe",unesco
Q16507500,"cimetière militaire portugais de Richebourg",unesco
Q16509755,"nécropole nationale de la Targette",unesco
Q16509773,"nécropole nationale de Rancourt",unesco
Q16912637,"cathédrale Notre-Dame, ancienne abbaye Saint-Rémi et palais du Tau, Reims",unesco
Q17117964,"Mont-Saint-Michel et sa baie",unesco
Q172697,"îles Marquises",unesco
Q1741383,"baie de Somme",grand-site-de-france
Q17515364,"embranchement de La Nouvelle",unesco
Q17537921,"arsenal de Rochefort",grand-site-de-france
Q1774129,"abbaye de Saint-Savin-sur-Gartempe",unesco
Q1778266,"cité épiscopale d'Albi",unesco
Q18005365,"cimetière militaire allemand de Rancourt",unesco
Q1850310,"cimetière militaire allemand de Neuville-Saint-Vaast",unesco
Q1854219,"monument aux disparus de Cambrai",unesco
Q1861419,"mémorial de Thiepval",unesco
Q1874283,"cimetière canadien n°2",unesco
Q1878989,"cimetière communal du Quesnoy, extension",unesco
Q19407109,"mémorial du Chemin des Dames",unesco
Q19407143,"nécropole de Chambière",unesco
Q19407144,"nécropole nationale de Compiègne-Royallieu",unesco
Q19407145,"nécropole nationale de Cuts",unesco
Q19407152,"nécropole nationale des prisonniers de guerre de Sarrebourg",unesco
Q19407153,"nécropole nationale de Saint-Benoît-la-Chipotte",unesco
Q19801255,"cimetière militaire allemand de Cerny-en-Laonnois",unesco
Q19945177,"nécropole nationale de Cerny-en-Laonnois",unesco
Q19945178,"nécropole nationale de Craonnelle",unesco
Q19951185,"nécropole nationale de La Crouée",unesco
Q19951189,"nécropole nationale de Saint-Thomas-en-Argonne",unesco
Q202494,"canal du Midi",unesco
Q2040499,"V.C. Corner Australian Cemetery",unesco
Q20650612,"les climats du vignoble de Bourgogne",unesco
Q20650698,"Coteaux, maisons et caves de Champagne",unesco
Q2065958,"cimetière militaire de Villers-Bretonneux",unesco
Q20749195,"nécropole nationale de la Fontenelle",unesco
Q20819675,"nécropole nationale de la Grande Tombe de Villeroy",unesco
Q20895234,"monument national du Hartmannswillerkopf",unesco
Q20970719,"nécropole nationale de Cutting",unesco
Q20971295,"nécropole nationale d'Effry",unesco
Q20973811,"nécropole nationale du Trottoir",unesco
Q20973830,"nécropole nationale de La Forestière",unesco
Q20973832,"nécropole nationale de Lagarde",unesco
Q20973837,"cimetière franco-allemand du Sourd",unesco
Q20973864,"nécropole nationale du Wettstein",unesco
Q20973865,"nécropole nationale du Carrefour Duchesne",unesco
Q20973867,"nécropole nationale de Pierrepont",unesco
Q20973879,"nécropole nationale de Riche",unesco
Q20973884,"nécropole nationale des Tiges",unesco
Q20973907,"nécropole nationale de Thiescourt",unesco
Q20973913,"nécropole nationale de Vauquois",unesco
Q20973918,"nécropole nationale de Faubourg-Pavé",unesco
Q20973920,"ossuaire de la Gruerie",unesco
Q20973921,"nécropole nationale de La Harazée",unesco
Q20973930,"cimetière militaire de Chestres",unesco
Q20973932,"nécropole nationale du Silberloch",unesco
Q2135937,"cimetière chinois de Nolette",unesco
Q21568987,"cimetière militaire russe de Saint-Hilaire-le-Grand",unesco
Q21570181,"nécropole nationale de l'Opéra",unesco
Q21570189,"nécropole nationale de la ferme des Wacques",unesco
Q21570192,"nécropole nationale de la Légion étrangère",unesco
Q2167127,"cimetière de Mill Road",unesco
Q2170407,"Dud Corner Cemetery",unesco
Q2215301,"cimetière américain de Romagne-sous-Montfaucon",unesco
Q2233532,"rives de la Seine à Paris",unesco
Q2249113,"port de la Lune",unesco
Q2289403,"cimetière militaire de Cambrai East",unesco
Q2292418,"nécropole nationale d'Assevent",unesco
Q22997159,"monument aux morts israélites a Fleury-devant-Douaumont",unesco
Q22997438,"cité des Électriciens",unesco
Q2331354,"cimetière canadien de Givenchy Road",unesco
Q2340684,"parc de Versailles",unesco
Q2353463,"cimetière de Faubourg d'Amiens",unesco
Q2374137,"mémorial national sud-africain du Bois Delville",unesco
Q2478266,"mémorial de Loos",unesco
Q2482169,"cimetière britannique de La Targette",unesco
Q2518785,"cimetière militaire de Louvencourt",unesco
Q2561040,"mémorial national du Canada à Vimy",unesco
Q2566225,"mémorial chinois de Noyelles-sur-Mer",unesco
Q2618490,"cimetière de Delville Wood",unesco
Q2658699,"cimetière militaire de Rancourt",unesco
Q2674251,"mémorial des services aériens d'Arras",unesco
Q2710055,"Pitons, cirques et remparts de l'île de La Réunion",unesco
Q27479551,"cimetière militaire tchécoslovaque de Neuville-Saint-Vaast",unesco
Q2782982,"Arras Mémorial",unesco
Q2789507,"Val de Loire entre Sully-sur-Loire et Chalonnes",unesco
Q2873119,"monument aux morts des armées de Champagne",unesco
Q28827968,"Provins, ville de foire médiévale",unesco
Q2917267,"mémorial de Neuve-Chapelle",unesco
Q2944797,"centre-ville reconstruit du Havre",unesco
Q2956943,"chapelle Saint-Nicolas du pont Saint-Bénézet",unesco
Q2957299,"chapelle de La Cordelle",unesco
Q2962473,"chemins de Saint-Jacques-de-Compostelle en France",unesco
Q2972492,"cimetière américain du Bois Belleau",unesco
Q2972642,"cimetière militaire allemand de Morhange",unesco
Q2972643,"cimetière militaire allemand de Saint-Quentin",unesco
Q2972644,"nécropole nationale de Notre-Dame-de-Lorette",unesco
Q2972648,"cimetière militaire allemand de Veslud",unesco
Q2972659,"cimetière militaire franco-allemand de Bertrimoutier",unesco
Q2972661,"cimetière militaire italien 'de Bligny'",unesco
Q2972667,"cimetière militaire d'Étaples",unesco
Q2987951,"juridiction de Saint-Émilion",unesco
Q3034552,"palais et parc de Versailles",unesco
Q3041300,"Grand Site des Dunes de Flandre",grand-site-de-france
Q3059864,"mémorial de Pozières",unesco
Q3114573,"Grand Site des Deux Caps",grand-site-de-france
Q3117924,"groupe scolaire Jean-Macé",unesco
Q3232521,"Les Fantômes",unesco
Q3247141,"tranchée des baïonnettes",unesco
Q3287362,"Marae de Taputapuātea",unesco
Q3297671,"massif du Canigou",grand-site-de-france
Q3411434,"Pyrénées-Mont Perdu",unesco
Q3457508,"réserve naturelle nationale des Terres australes françaises",unesco
Q392215,"bassin minier du Nord-Pas-de-Calais",unesco
Q41780872,"église de l'Assomption de Mondement-Montgivroux",unesco
Q4554750,"cimetière communal de Wimereux",unesco
Q4580,"sites palafittiques préhistoriques autour des Alpes",unesco
Q4681068,"cratère Lichfield",unesco
Q4991584,"cimetière britannique de Pozières",unesco
Q51426068,"cimetière militaire allemand de Consenvoye",unesco
Q51619032,"cimetière militaire allemand de St. Mihiel",unesco
Q52989504,"cimetière roumain de Soultzmatt",unesco
Q55523908,"Strasbourg, Grande-Île et Neustadt",unesco
Q55596340,"cimetière militaire allemand de Cambrai",unesco
Q55598898,"ossuaire de la Haute-Chevauchée",unesco
Q55619850,"œuvre architecturale de Le Corbusier",unesco
Q5567396,"cimetière anglo-français de Thiepval",unesco
Q56599670,"carré militaire français des morts du 11 novembre 1918 de Vrigne-Meuse",unesco
Q56599715,"monument allemand du cimetière Saint-Charles",unesco
Q56718530,"nécropole nationale de Fleury-devant-Douaumont",unesco
Q59281347,"cimetière des Uhlans",unesco
Q59297166,"cimetière militaire allemand de Hohrod-Bärenstall",unesco
Q59310530,"Ensemble de stèles et d’anciennes tombes individuelles allemandes et françaises du Petit Donon",unesco
Q5944106,"cimetière Hunter",unesco
Q59592141,"cimetière militaire allemand de Apremont",unesco
Q59594168,"cimetière militaire allemand de Souain",unesco
Q59616773,"Carré allemand du cimetière militaire de Chestres",unesco
Q59618084,"cimetière militaire allemand de Pierrepont",unesco
Q60042743,"cimetière militaire allemand de Lagarde",unesco
Q60162677,"cimetière militaire allemand de Thiescourt",unesco
Q60221092,"monument franco-allemand de Saint-Quentin",unesco
Q60346358,"chapelle du Souvenir-Français de Rancourt",unesco
Q61744168,"cimetière du Bois du Puits",unesco
Q64401449,"basilique et colline de Vézelay",unesco
Q64685453,"Les sites funéraires et mémoriels de la Première Guerre mondiale (Front Ouest)",unesco
Q647265,"cimetière américain du Saillant de Saint-Mihiel",unesco
Q64832437,"Haut lieu tectonique Chaîne des Puys - faille de Limagne",unesco
Q64842970,"Aires volcaniques et forestières de la Martinique",unesco
Q705054,"ossuaire de Douaumont",unesco
Q738657,"Saint-Savin",unesco
Q750675,"beffrois de Belgique et de France",unesco
