decision,curator_note,name,theme,origine,departement,best_tier,changement,score,notoriete,bonus_labels,bonus_article,bonus_image,bonus_frwiki,bonus_acces,bonus_visiteurs,sitelinks,labels,collections,alertes,ouvert_au_public,entre_par_remise,horaires,lat,lon,wikidata_id,wikipedia_url,image_url
,,Abbaye du Mont-Saint-Michel,abbayes,wikidata,Manche,1,,173.3,49.5,12.0,40.3,8.0,5.0,10.0,48.5,21,monument-historique-classe,5,,oui,,,48.636051,-1.511385,Q651388,https://fr.wikipedia.org/wiki/Abbaye_du_Mont-Saint-Michel,http://commons.wikimedia.org/wiki/Special:FilePath/Le%20Mont-Saint-Michel%20Abbaye%20de%20Mont-Saint-Michel%20S%C3%BCdseite%2003.jpg
,,Abbaye de Fontenay,abbayes,wikidata,Côte-d'Or,1,,155.9,59.0,46.0,27.9,8.0,5.0,10.0,0.0,39,monument-historique-classe|unesco,6,disparu ou démoli (1791),oui,,"PH,Mo-Su 10:00-18:00",47.639661,4.389327,Q464918,https://fr.wikipedia.org/wiki/Abbaye_de_Fontenay,http://commons.wikimedia.org/wiki/Special:FilePath/Abbaye%20de%20Fontenay%20R01.jpg
,,Abbaye royale d’Hautecombe,abbayes,wikidata,Savoie,1,,152.6,50.2,46.0,43.4,8.0,5.0,0.0,0.0,22,monument-historique-classe|unesco,6,,inconnu,,,45.752778,5.839722,Q63524,https://fr.wikipedia.org/wiki/Abbaye_d%27Hautecombe,http://commons.wikimedia.org/wiki/Special:FilePath/Abbaye%20d%27Hautecombe%20%28Savoie%29%20-%20Lac%20du%20Bourget%20-%20Vue%20depuis%20le%20belv%C3%A9d%C3%A8re%20du%20mont%20de%20la%20Charvaz%20-%2051619987352.jpg
,,Abbaye Notre-Dame de Sénanque,abbayes,wikidata,Vaucluse,1,,141.4,49.5,12.0,26.5,8.0,5.0,10.0,30.4,21,monument-historique-classe,4,,oui,,,43.928333,5.186944,Q1245463,https://fr.wikipedia.org/wiki/Abbaye_Notre-Dame_de_S%C3%A9nanque,http://commons.wikimedia.org/wiki/Special:FilePath/Abbaye-senanque-gordes-iso.jpg
,,Abbaye Royale de Saint-Remi de Reims,abbayes,wikidata,Marne,1,,136.8,46.2,40.0,27.6,8.0,5.0,10.0,0.0,17,unesco,5,,oui,,"Tu-Su, PH 10:00-18:00",49.243400,4.041300,Q27969085,https://fr.wikipedia.org/wiki/Abbaye_Saint-Remi_de_Reims,http://commons.wikimedia.org/wiki/Special:FilePath/Abbaye%20st%20remi%20dessin%20povillon%20pierrard%20bmr%2016.jpg
,,Abbaye de Fontevraud,abbayes,wikidata,Maine-et-Loire,1,,133.0,55.9,15.0,39.1,8.0,5.0,10.0,0.0,32,monument-historique-classe|monument-historique-inscrit,4,,oui,,,47.181389,0.051667,Q283254,https://fr.wikipedia.org/wiki/Abbaye_Notre-Dame_de_Fontevraud,http://commons.wikimedia.org/wiki/Special:FilePath/Fontevraud3.jpg
,,Basilique Sainte-Marie-Madeleine,abbayes,wikidata,Yonne,1,,130.8,59.4,12.0,36.4,8.0,5.0,10.0,0.0,40,monument-historique-classe,4,,oui,,,47.466389,3.748333,Q217452,https://fr.wikipedia.org/wiki/Basilique_Sainte-Marie-Madeleine_de_V%C3%A9zelay,http://commons.wikimedia.org/wiki/Special:FilePath/Vezelay-7776-Bearbeitet.jpg
,,Abbaye Sainte-Marie de Fontfroide,abbayes,wikidata,Aude,1,,130.4,46.2,15.0,30.1,8.0,5.0,0.0,26.1,17,monument-historique-classe|monument-historique-inscrit,4,,inconnu,,,43.127372,2.898336,Q334263,https://fr.wikipedia.org/wiki/Abbaye_Sainte-Marie_de_Fontfroide,http://commons.wikimedia.org/wiki/Special:FilePath/France-Abbaye%20de%20Fontfroide-Vue%20d%27ensemble2.jpg
,,Basilique Saint-Sernin de Toulouse,abbayes,wikidata,Haute-Garonne,1,,124.7,52.1,12.0,37.6,8.0,5.0,10.0,0.0,25,monument-historique-classe,4,,oui,,,43.608485,1.442126,Q1010268,https://fr.wikipedia.org/wiki/Basilique_Saint-Sernin_de_Toulouse,http://commons.wikimedia.org/wiki/Special:FilePath/Basilique%20Saint-Sernin%20de%20Toulouse%20-%20exposition%20ouest-1-.jpg
,,Monastère royal de Brou,abbayes,wikidata,Ain,1,monte,123.4,39.8,15.0,26.7,8.0,5.0,10.0,18.9,11,monument-historique-classe|monument-historique-inscrit,4,,oui,,"Apr-Sep Mo-Su 09:00-18:00; Oct-Mar Mo-Su 09:00-17:00; Jan 1, May 1, Dec 25 off",46.197983,5.236213,Q3320413,https://fr.wikipedia.org/wiki/Monast%C3%A8re_royal_de_Brou,http://commons.wikimedia.org/wiki/Special:FilePath/Monast%C3%A8re%20de%20Brou.jpg
,,Cascade d'Ars,cascades,wikidata,Ariège,1,,104.1,17.6,0.0,13.5,8.0,5.0,0.0,0.0,2,,3,,inconnu,,,42.763700,1.361510,Q16627473,https://fr.wikipedia.org/wiki/Cascade_d%27Ars,http://commons.wikimedia.org/wiki/Special:FilePath/Cascade%20d%27Ars%20%C3%A0%20Aulus-les-Bains.jpg
,,Cascade de Gavarnie,cascades,wikidata,Hautes-Pyrénées,1,,73.5,47.9,0.0,12.6,8.0,5.0,0.0,0.0,19,,3,,inconnu,,,42.693331,-0.004439,Q1496402,https://fr.wikipedia.org/wiki/Cascade_de_Gavarnie,http://commons.wikimedia.org/wiki/Special:FilePath/Gavarnie-Cirque.JPG
,,Trou de Fer,cascades,wikidata,La Réunion,1,,71.6,44.4,0.0,14.2,8.0,5.0,0.0,0.0,15,,5,,inconnu,,,-21.040278,55.556944,Q593481,https://fr.wikipedia.org/wiki/Trou_de_Fer,http://commons.wikimedia.org/wiki/Special:FilePath/Trou-de-Fer.jpg
,,Chutes du Carbet,cascades,wikidata,Guadeloupe,1,,68.2,42.2,0.0,13.0,8.0,5.0,0.0,0.0,13,,3,,inconnu,,,16.045600,-61.652200,Q2967747,https://fr.wikipedia.org/wiki/Chutes_du_Carbet,http://commons.wikimedia.org/wiki/Special:FilePath/Chutesducarbet.jpg
,,Cascade de Glandieu,cascades,wikidata,Ain,1,,66.4,43.3,0.0,10.1,8.0,5.0,0.0,0.0,14,,3,,inconnu,,,45.666051,5.612705,Q2940841,https://fr.wikipedia.org/wiki/Cascade_de_Glandieu,http://commons.wikimedia.org/wiki/Special:FilePath/Cascade%20Glandieu.JPG
,,Cascade d'Angon,cascades,wikidata,Haute-Savoie,1,,61.8,17.6,0.0,31.2,8.0,5.0,0.0,0.0,2,,4,,inconnu,,,45.833920,6.228430,Q122999925,https://fr.wikipedia.org/wiki/Cascade_d%27Angon,http://commons.wikimedia.org/wiki/Special:FilePath/Cascade%20d%27Angon%202.jpg
,,Cascade Blanche,cascades,wikidata,La Réunion,1,,57.1,33.3,0.0,10.8,8.0,5.0,0.0,0.0,7,,5,,inconnu,,,-21.009444,55.583611,Q1046847,https://fr.wikipedia.org/wiki/Cascade_Blanche,http://commons.wikimedia.org/wiki/Special:FilePath/Cascade-Blanche.jpg
,,Cascade de Baume-les-Messieurs,cascades,wikidata,Jura,1,monte,51.7,17.6,0.0,11.1,8.0,5.0,10.0,0.0,2,,3,,oui,,,46.690235,5.638765,Q91012975,https://fr.wikipedia.org/wiki/Cascade_de_Baume-les-Messieurs,http://commons.wikimedia.org/wiki/Special:FilePath/Cascade%20des%20Tufs.jpg
,,Cascade Niagara,cascades,wikidata,La Réunion,1,,51.3,28.7,0.0,9.6,8.0,5.0,0.0,0.0,5,,5,,inconnu,,,-20.920833,55.603889,Q1046868,https://fr.wikipedia.org/wiki/Cascade_Niagara,http://commons.wikimedia.org/wiki/Special:FilePath/Niagara%20falls%20%28Reunion%20Island%29.jpg
,,Cascade du Déroc,cascades,wikidata,Lozère,1,,50.8,25.8,0.0,12.0,8.0,5.0,0.0,0.0,4,,3,,inconnu,,,44.645800,3.070280,Q2940863,https://fr.wikipedia.org/wiki/Cascade_du_D%C3%A9roc,http://commons.wikimedia.org/wiki/Special:FilePath/Cascade%20du%20D%C3%A9roc.jpg
,,Cathédrale Notre-Dame de Paris,cathedrales,wikidata,Paris,1,,230.1,77.4,12.0,46.8,8.0,5.0,10.0,70.9,125,monument-historique-classe,6,,oui,,"Mo,Tu,We,Fr 07:50-19:00; Th 07:50-22:00; Sa,Su 08:15-19:30",48.853000,2.349800,Q2981,https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame_de_Paris,http://commons.wikimedia.org/wiki/Special:FilePath/Notre-Dame%20de%20Paris%202013-07-24.jpg
,,Basilique du Sacré-Cœur de Montmartre,cathedrales,wikidata,Paris,1,,208.6,65.5,15.0,35.1,8.0,5.0,10.0,70.0,59,monument-historique-classe|monument-historique-inscrit,6,,oui,,06:00-22:30,48.886650,2.342950,Q28785,https://fr.wikipedia.org/wiki/Basilique_du_Sacr%C3%A9-C%C5%93ur_de_Montmartre,http://commons.wikimedia.org/wiki/Special:FilePath/Le%20sacre%20coeur.jpg
,,Cathédrale Saint-Front,cathedrales,wikidata,Dordogne,1,,181.1,49.5,12.0,36.6,8.0,5.0,10.0,0.0,21,monument-historique-classe,5,,oui,,,45.183611,0.722778,Q1736213,https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Saint-Front_de_P%C3%A9rigueux,http://commons.wikimedia.org/wiki/Special:FilePath/P%C3%A9rigueux%20%28Fr%29%2C%20cath%C3%A9drale%20St.Front%2C%20ext%C3%A9rieur.jpg
,,Cathédrale Notre-Dame de Chartres,cathedrales,wikidata,Eure-et-Loir,1,,179.8,68.9,46.0,41.9,8.0,5.0,10.0,0.0,73,monument-historique-classe|unesco,4,,oui,,,48.447778,1.487778,Q180274,https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame_de_Chartres,http://commons.wikimedia.org/wiki/Special:FilePath/Westfassade%20Chartres.jpg
,,Cathédrale Notre-Dame d'Amiens,cathedrales,wikidata,Somme,1,,168.5,65.0,46.0,44.5,8.0,5.0,0.0,0.0,57,monument-historique-classe|unesco,6,,inconnu,,,49.894570,2.302100,Q106934,https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame_d%27Amiens,http://commons.wikimedia.org/wiki/Special:FilePath/0%20Amiens%20-%20Cath%C3%A9drale%20Notre-Dame%20%281%29.JPG
,,Cathédrale Saint-Étienne de Bourges,cathedrales,wikidata,Cher,1,,166.5,63.2,46.0,34.3,8.0,5.0,10.0,0.0,51,monument-historique-classe|unesco,5,,oui,,,47.082220,2.399170,Q207985,https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Saint-%C3%89tienne_de_Bourges,http://commons.wikimedia.org/wiki/Special:FilePath/Bourges-Kathedrale-110-2008-gje.jpg
,,Basilique Saint-Denis,cathedrales,wikidata,Seine-Saint-Denis,1,,158.1,65.8,12.0,40.3,8.0,5.0,0.0,27.0,60,monument-historique-classe,4,,inconnu,,,48.935556,2.359722,Q184407,https://fr.wikipedia.org/wiki/Basilique_Saint-Denis,http://commons.wikimedia.org/wiki/Special:FilePath/Basilique%20St%20Denis%20fa%C3%A7ade%20ouest%20St%20Denis%20Seine%20St%20Denis%2020.jpg
,,Cathédrale Notre-Dame de Strasbourg,cathedrales,wikidata,Bas-Rhin,1,,138.4,63.2,12.0,40.2,8.0,5.0,10.0,0.0,51,monument-historique-classe,4,,oui,,"Mo-Sa 08:30-11:15,12:45-17:45; Su 13:30-17:30",48.581890,7.751056,Q745460,https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame_de_Strasbourg,http://commons.wikimedia.org/wiki/Special:FilePath/Strasbourg%20Cathedral%20Exterior%20-%20Diliff.jpg
,,Cathédrale Notre-Dame de Reims,cathedrales,wikidata,Marne,1,,137.2,65.8,12.0,36.4,8.0,5.0,10.0,0.0,60,monument-historique-classe,4,,oui,,Mo-Sa 08:00-19:30; Su 08:00-19:15,49.253889,4.034167,Q206823,https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame_de_Reims,http://commons.wikimedia.org/wiki/Special:FilePath/Reims%20Cathedral%20016%208341.jpg
,,Cathédrale Notre-Dame de Rouen,cathedrales,wikidata,Seine-Maritime,1,,132.5,63.5,12.0,44.0,8.0,5.0,0.0,0.0,52,monument-historique-classe,4,,inconnu,,,49.440200,1.095000,Q476516,https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame_de_Rouen,http://commons.wikimedia.org/wiki/Special:FilePath/Cath%C3%A9drale%20de%20Rouen.jpg
,,Château de Versailles,chateaux,wikidata,Yvelines,1,,185.1,75.1,46.0,41.0,8.0,5.0,10.0,0.0,108,monument-historique-classe|unesco,7,,oui,,"Apr-Oct: Tu-Su 09:00-18:30, Nov-Mar: Tu-Su 09:00-17:30",48.804722,2.120278,Q2946,https://fr.wikipedia.org/wiki/Ch%C3%A2teau_de_Versailles,http://commons.wikimedia.org/wiki/Special:FilePath/Vue%20a%C3%A9rienne%20du%20domaine%20de%20Versailles%20par%20ToucanWings%20-%20Creative%20Commons%20By%20Sa%203.0%20-%20083.jpg
,,Château de Fontainebleau,chateaux,wikidata,Seine-et-Marne,1,,178.4,64.7,46.0,44.7,8.0,5.0,10.0,0.0,56,monument-historique-classe|unesco,6,,oui,,,48.402222,2.700556,Q201428,https://fr.wikipedia.org/wiki/Ch%C3%A2teau_de_Fontainebleau,http://commons.wikimedia.org/wiki/Special:FilePath/Le%20Grand%20Escalier%20%C3%A0%20Fer%20de%20Cheval.jpg
,,Château de Chambord,chateaux,wikidata,Loir-et-Cher,1,,169.4,64.4,46.0,36.0,8.0,5.0,10.0,0.0,55,monument-historique-classe|unesco,7,,oui,,"Jan 02-07,Mar 30-Oct 27 09:00-18:00; Jan 08-Mar 29,Oct 28-Dec 31 09:00-17:00; Jan 1, Mar 21, Dec 25 closed",47.616111,1.517222,Q205367,https://fr.wikipedia.org/wiki/Ch%C3%A2teau_de_Chambord,http://commons.wikimedia.org/wiki/Special:FilePath/France%20Loir-et-Cher%20Chambord%20Chateau%2003.jpg
,,Château des ducs de Bretagne,chateaux,wikidata,Loire-Atlantique,1,,160.6,48.7,12.0,41.6,8.0,5.0,10.0,35.3,20,monument-historique-classe,5,,oui,,08:30-19:00; Jul-Aug 08:30-20:00,47.216140,-1.549140,Q1289258,https://fr.wikipedia.org/wiki/Ch%C3%A2teau_des_ducs_de_Bretagne,http://commons.wikimedia.org/wiki/Special:FilePath/Nantes%20a%C3%A9rien%20ch%C3%A2teau3.jpg
,,Château de Quéribus,chateaux,wikidata,Aude,1,,160.3,46.2,46.0,24.4,8.0,5.0,10.0,20.7,17,monument-historique-classe|unesco,7,,oui,,,42.836667,2.621667,Q667763,https://fr.wikipedia.org/wiki/Ch%C3%A2teau_de_Qu%C3%A9ribus,http://commons.wikimedia.org/wiki/Special:FilePath/130610-Queribus-03.jpg
,,Cité de Carcassonne,chateaux,wikidata,Aude,1,,155.4,58.6,46.0,37.8,8.0,5.0,0.0,0.0,38,monument-historique-classe|unesco,7,,inconnu,,,43.206439,2.363788,Q389269,https://fr.wikipedia.org/wiki/Cit%C3%A9_de_Carcassonne,http://commons.wikimedia.org/wiki/Special:FilePath/Cit%C3%A9%20de%20Carcassonne.jpg
,,Château de Chaumont-sur-Loire,chateaux,wikidata,Loir-et-Cher,1,,150.0,51.5,12.0,23.9,8.0,5.0,10.0,39.6,24,monument-historique-classe,6,,oui,,,47.479167,1.181944,Q522779,https://fr.wikipedia.org/wiki/Ch%C3%A2teau_de_Chaumont-sur-Loire,http://commons.wikimedia.org/wiki/Special:FilePath/Ch%C3%A2teau%20de%20Chaumont-116-2008-gje.jpg
,,Château de Chenonceau,chateaux,wikidata,Indre-et-Loire,1,,141.8,61.6,12.0,45.2,8.0,5.0,10.0,0.0,46,monument-historique-classe,5,,oui,,Mo-Su 09:00-19:00,47.325000,1.070600,Q193215,https://fr.wikipedia.org/wiki/Ch%C3%A2teau_de_Chenonceau,http://commons.wikimedia.org/wiki/Special:FilePath/Chenonceau-20050320.jpg
,,Château de Montsoreau,chateaux,wikidata,Maine-et-Loire,1,,141.7,73.8,15.0,39.9,8.0,5.0,0.0,0.0,100,monument-historique-classe|monument-historique-inscrit,5,,inconnu,,,47.215600,0.062200,Q1143049,https://fr.wikipedia.org/wiki/Ch%C3%A2teau_de_Montsoreau,http://commons.wikimedia.org/wiki/Special:FilePath/Chateau%20de%20Montsoreau%20Museum%20of%20contemporary%20art%20Loire%20Valley%20France.jpg
,,Fort de Douaumont,chateaux,wikidata,Meuse,1,monte,140.3,45.3,46.0,36.0,8.0,5.0,0.0,0.0,16,monument-historique-classe|unesco,4,,inconnu,,,49.216667,5.438889,Q186536,https://fr.wikipedia.org/wiki/Fort_de_Douaumont,http://commons.wikimedia.org/wiki/Special:FilePath/Fort%20de%20Douaumont%20-%20Vue%20g%C3%A9n%C3%A9rale.JPG
,,Cirque de Gavarnie,cirques,wikidata,Hautes-Pyrénées,1,,86.4,51.5,0.0,21.9,8.0,5.0,0.0,0.0,24,,2,,inconnu,,,42.695000,-0.008889,Q1093112,https://fr.wikipedia.org/wiki/Cirque_de_Gavarnie,http://commons.wikimedia.org/wiki/Special:FilePath/Circo%20de%20Gavarnie.JPG
,,Cirque de Mafate,cirques,wikidata,La Réunion,1,,81.9,43.3,0.0,25.6,8.0,5.0,0.0,0.0,14,,3,,inconnu,,,-21.053889,55.420556,Q131830,https://fr.wikipedia.org/wiki/Cirque_de_Mafate,http://commons.wikimedia.org/wiki/Special:FilePath/14-07-2011%20Grand%20B%C3%A9nare%20%2826%29%20Mafate%20%28version%20am%C3%A9lior%C3%A9e%29.jpg
,,Cirque de Navacelles,cirques,wikidata,Hérault,1,,69.9,28.7,0.0,28.2,8.0,5.0,0.0,0.0,5,,2,,inconnu,,,43.893060,3.509720,Q2182798,https://fr.wikipedia.org/wiki/Cirque_de_Navacelles,http://commons.wikimedia.org/wiki/Special:FilePath/0%202981Cirque%20de%20Navacelles%20-%20C%C3%A8vennes%20%28Frankreich%29.jpg
,,Cirque de Troumouse,cirques,wikidata,Hautes-Pyrénées,1,,63.2,35.2,0.0,15.0,8.0,5.0,0.0,0.0,8,,2,,inconnu,,,42.728889,0.112222,Q2974278,https://fr.wikipedia.org/wiki/Cirque_de_Troumouse,http://commons.wikimedia.org/wiki/Special:FilePath/Troumouse-Cirque-Pano.jpg
,,Cirque d'Estaubé,cirques,wikidata,Hautes-Pyrénées,1,,55.7,31.1,0.0,11.6,8.0,5.0,0.0,0.0,6,,2,,inconnu,,,42.705833,-0.018333,Q5121974,https://fr.wikipedia.org/wiki/Cirque_d%27Estaub%C3%A9,http://commons.wikimedia.org/wiki/Special:FilePath/Estaube.jpg
,,Cirque de Cilaos,cirques,wikidata,La Réunion,1,,55.3,33.3,0.0,9.0,8.0,5.0,0.0,0.0,7,,3,,inconnu,,,-21.145730,55.459830,Q1093094,https://fr.wikipedia.org/wiki/Cirque_de_Cilaos,http://commons.wikimedia.org/wiki/Special:FilePath/Cilaos%20Circus.jpg
