code,name,de_form
01,Piémont,du Piémont
02,Val d'Aoste,du Val d'Aoste
03,Lombardie,de Lombardie
04,Trentin-Haut-Adige,du Trentin-Haut-Adige
05,Vénétie,de Vénétie
06,Frioul-Vénétie Julienne,du Frioul-Vénétie Julienne
07,Ligurie,de Ligurie
08,Émilie-Romagne,d'Émilie-Romagne
09,Toscane,de Toscane
10,Ombrie,d'Ombrie
11,Marches,des Marches
12,Latium,du Latium
13,Abruzzes,des Abruzzes
14,Molise,du Molise
15,Campanie,de Campanie
16,Pouilles,des Pouilles
17,Basilicate,de Basilicate
18,Calabre,de Calabre
19,Sicile,de Sicile
20,Sardaigne,de Sardaigne
