code,name,de_form
84,Auvergne-Rhône-Alpes,d'Auvergne-Rhône-Alpes
27,Bourgogne-Franche-Comté,de Bourgogne-Franche-Comté
53,Bretagne,de Bretagne
24,Centre-Val de Loire,du Centre-Val de Loire
94,Corse,de Corse
44,Grand Est,du Grand Est
32,Hauts-de-France,des Hauts-de-France
11,Île-de-France,d'Île-de-France
28,Normandie,de Normandie
75,Nouvelle-Aquitaine,de Nouvelle-Aquitaine
76,Occitanie,d'Occitanie
52,Pays de la Loire,des Pays de la Loire
93,Provence-Alpes-Côte d'Azur,de Provence-Alpes-Côte d'Azur
01,Guadeloupe,de Guadeloupe
02,Martinique,de Martinique
03,Guyane,de Guyane
04,La Réunion,de La Réunion
06,Mayotte,de Mayotte
