# Niveau de chaque lieu tel que le curateur l'a vu à sa dernière revue.
#
# Le niveau d'un lieu n'est pas une propriété du lieu : c'est son rang dans sa
# collection. Ajouter un signal au score, ou seulement collecter dix lieux de
# plus, peut donc faire descendre un lieu qu'on avait validé — sans que rien ne
# le dise.
#
# Ce fichier est la photographie du dernier état VU. `build` compare et signale
# les écarts ; `apply-review` la met à jour, parce que c'est le moment où le
# curateur a regardé.
#
wikidata_id,tier,theme,name
Q1166213,2,cathedrales,Église Santo Stefano degli Abissini
Q12512,1,cathedrales,Basilique Saint-Pierre
Q13099380,1,grottes,Grotte de Lourdes
Q1444766,2,monuments,Obélisque du Vatican
Q145093,1,monuments,Palais du Vatican
Q182955,1,musees,Musées du Vatican
Q2158200,1,megalithes,Tombe de saint Pierre
Q2291560,1,maisons,Villa Pia
Q2460920,2,monuments,Tour des vents
Q2547111,2,piazzas,Cour du Belvédère
Q2943,1,cathedrales,Chapelle Sixtine
Q3585393,2,cathedrales,Église Sainte-Anne-des-Palefreniers
Q42003,1,jardins,Jardins du Vatican
Q4540172,1,abbayes,Monastère Mater Ecclesiae
Q498557,2,musees,Appartements Borgia
Q774940,2,musees,Pinacothèque vaticane
Q83425,1,piazzas,Place Saint-Pierre
Q917387,2,monuments,Palais du Gouvernorat du Vatican
